algo,n,time_ns,max_depth,comparisons,swaps,allocations
MergeSort,1000,47270100,6,13388,0,13547
QuickSort,1000,19673300,6,11511,7913,0
DeterministicSelect,1000,6676600,10,2058,1063,519
ClosestPair,1000,52632900,10,1119,0,0
MergeSort,2000,2147600,7,28431,0,28739
QuickSort,2000,1102000,7,22607,13516,0
DeterministicSelect,2000,585300,12,3954,2084,989
ClosestPair,2000,31597400,11,2261,0,0
MergeSort,5000,2163400,9,67036,0,68173
QuickSort,5000,1868500,8,72462,45526,0
DeterministicSelect,5000,1327000,11,9858,4805,2473
ClosestPair,5000,17148300,12,6441,0,0
MergeSort,10000,3790800,10,143452,0,145700
QuickSort,10000,2496100,8,158112,89153,0
DeterministicSelect,10000,3732900,11,19404,10099,4861
ClosestPair,10000,78314400,13,12941,0,0
